ID,Al(wt%),Co(wt%),Cr(wt%),Fe(wt%),Ni(wt%),Mo(wt%),Cu(wt%),Temperature,Cl Concentration,PH,Ep(mV)
1,0.0,0.0,0.191700501,0.713951778,0.09434772,0.0,0.0,30,0.53,7,-50.0
2,0.0,0.0,0.194113763,0.692817031,0.095535436,0.01753377,0.0,30,0.53,7,200.0
3,0.0,0.0,0.268145994,0.639141355,0.052260633,0.01453254,0.025919478,30,0.53,7,850.0
4,0.0,0.0,0.268252065,0.639394181,0.052281305,0.014538289,0.025534159,30,0.53,7,80.0
5,0.0,0.0,0.30435084,0.646571877,0.024683695,0.024393588,0.0,60,0.546,7,1010.0
6,0.0,0.0,0.30435084,0.646571877,0.024683695,0.024393588,0.0,80,0.546,7,1010.0
7,0.0,0.0,0.30435084,0.646571877,0.024683695,0.024393588,0.0,100,0.546,7,493.0
8,0.0,0.0,0.220091391,0.0,0.779908609,0.0,0.0,25,1.0,3,230.52
9,0.0,0.0,0.220091391,0.0,0.779908609,0.0,0.0,25,1.0,4,332.48
10,0.0,0.0,0.220091391,0.0,0.779908609,0.0,0.0,25,1.0,5,342.67
11,0.0,0.0,0.220091391,0.0,0.779908609,0.0,0.0,25,1.0,7,370.4
12,0.0,0.0,0.220091391,0.0,0.779908609,0.0,0.0,25,1.0,9,361.39
13,0.200859712,0.20056065,0.200517234,0.200560641,0.0,0.0,0.197501763,25,0.6,7,-130.0
14,0.171273942,0.209106116,0.207379048,0.202280446,0.209960448,0.0,0.0,25,0.6,7,164.0
15,0.0,0.248667413,0.249323637,0.252325572,0.249683378,0.0,0.0,25,0.6,7,-8.0
16,0.0,0.236385029,0.270290227,0.246251127,0.247073617,0.0,0.0,25,0.6128,7,310.0
17,0.0,0.23480248,0.182818326,0.211429705,0.250404778,0.0,0.120544711,25,0.6128,7,90.0
18,0.0,0.212647897,0.182165481,0.196017095,0.216297382,0.0,0.192872145,25,0.6128,7,80.0
19,0.110159789,0.222453239,0.222529895,0.222399274,0.222457802,0.0,0.0,25,0.6128,7,130.0
20,0.0,0.248667413,0.249323637,0.252325572,0.249683378,0.0,0.0,25,0.1,7,805.0
21,0.0,0.0,0.15072627,0.0,0.817114,0.032159731,0.0,45,0.5,7,262.1
22,0.0,0.0,0.230054579,0.0,0.740065651,0.02987977,0.0,45,0.5,7,576.8
23,0.0,0.0,0.192158054,0.0,0.74759462,0.060247326,0.0,45,0.5,7,576.8
24,0.0,0.0,0.353936311,0.0,0.61515193,0.030911759,0.0,45,0.5,7,567.8
25,0.0,0.0,0.162229513,0.0,0.764438835,0.073331651,0.0,45,0.5,7,531.8
26,0.0,0.0,0.124436464,0.0,0.779302952,0.096260584,0.0,45,0.5,7,536.3
27,0.0,0.0,0.153728621,0.0,0.751217895,0.095053485,0.0,45,0.5,7,590.4
28,0.0,0.0,0.353936311,0.0,0.61515193,0.030911759,0.0,60,0.5,7,348.9
29,0.0,0.0,0.298324899,0.0,0.659964611,0.04171049,0.0,60,0.5,7,580.4
30,0.0,0.0,0.162229513,0.0,0.764438835,0.073331651,0.0,60,0.5,7,438.9
31,0.0,0.0,0.124436464,0.0,0.779302952,0.096260584,0.0,60,0.5,7,368.2
32,0.0,0.0,0.153728621,0.0,0.751217895,0.095053485,0.0,60,0.5,7,548.2
33,0.0,0.0,0.214014765,0.0,0.690722763,0.095262472,0.0,60,0.5,7,503.2
34,0.0,0.0,0.115493441,0.0,0.745972956,0.138533603,0.0,60,0.5,7,561.1
35,0.0,0.0,0.229814379,0.0,0.619860869,0.150324753,0.0,60,0.5,7,561.1
36,0.0,0.0,0.15072627,0.0,0.817114,0.032159731,0.0,75,0.5,7,223.8
37,0.0,0.0,0.230054579,0.0,0.740065651,0.02987977,0.0,75,0.5,7,541.8
38,0.0,0.0,0.193424974,0.0,0.754562367,0.052012659,0.0,75,0.5,7,228.3
39,0.0,0.0,0.318550359,0.0,0.649052782,0.032396859,0.0,75,0.5,7,561.1
40,0.0,0.0,0.192158054,0.0,0.74759462,0.060247326,0.0,75,0.5,7,368.2
41,0.0,0.0,0.353936311,0.0,0.61515193,0.030911759,0.0,75,0.5,7,411.6
42,0.0,0.0,0.162229513,0.0,0.764438835,0.073331651,0.0,75,0.5,7,435.7
43,0.0,0.0,0.124436464,0.0,0.779302952,0.096260584,0.0,75,0.5,7,377.8
44,0.0,0.0,0.153728621,0.0,0.751217895,0.095053485,0.0,75,0.5,7,479.1
45,0.0,0.0,0.259813794,0.0,0.663703938,0.076482268,0.0,75,0.5,7,570.7
46,0.0,0.0,0.302888486,0.0,0.624071395,0.073040119,0.0,75,0.5,7,493.6
47,0.0,0.0,0.214014765,0.0,0.690722763,0.095262472,0.0,75,0.5,7,585.2
48,0.0,0.0,0.115493441,0.0,0.745972956,0.138533603,0.0,75,0.5,7,426.0
49,0.0,0.0,0.229814379,0.0,0.619860869,0.150324753,0.0,75,0.5,7,398.7
50,0.0,0.0,0.15072627,0.0,0.817114,0.032159731,0.0,90,0.5,7,204.2
51,0.0,0.0,0.230054579,0.0,0.740065651,0.02987977,0.0,90,0.5,7,499.0
52,0.0,0.0,0.193424974,0.0,0.754562367,0.052012659,0.0,90,0.5,7,259.8
53,0.0,0.0,0.318550359,0.0,0.649052782,0.032396859,0.0,90,0.5,7,540.8
54,0.0,0.0,0.192158054,0.0,0.74759462,0.060247326,0.0,90,0.5,7,479.7
55,0.0,0.0,0.353936311,0.0,0.61515193,0.030911759,0.0,90,0.5,7,558.8
56,0.0,0.0,0.162229513,0.0,0.764438835,0.073331651,0.0,90,0.5,7,394.9
57,0.0,0.0,0.124436464,0.0,0.779302952,0.096260584,0.0,90,0.5,7,259.2
58,0.0,0.0,0.153728621,0.0,0.751217895,0.095053485,0.0,90,0.5,7,288.7
59,0.0,0.0,0.259813794,0.0,0.663703938,0.076482268,0.0,90,0.5,7,531.8
60,0.0,0.0,0.302888486,0.0,0.624071395,0.073040119,0.0,90,0.5,7,342.8
61,0.0,0.0,0.214014765,0.0,0.690722763,0.095262472,0.0,90,0.5,7,504.8
62,0.0,0.0,0.336881467,0.0,0.571798576,0.091319956,0.0,90,0.5,7,559.0
63,0.0,0.0,0.115493441,0.0,0.745972956,0.138533603,0.0,90,0.5,7,473.3
64,0.0,0.0,0.310071615,0.0,0.566795581,0.123132804,0.0,90,0.5,7,70.7
65,0.0,0.0,0.229814379,0.0,0.619860869,0.150324753,0.0,90,0.5,7,472.0
66,0.995859461,0.0,0.0,0.0,0.0,0.0,0.004140539,25,1.0,7,-440.0
67,0.991541655,0.0,0.0,0.0,0.0,0.0,0.008458345,25,1.0,7,-410.0
68,0.987429583,0.0,0.0,0.0,0.0,0.0,0.012570417,25,1.0,7,-390.0
69,0.982881705,0.0,0.0,0.0,0.0,0.0,0.017118295,25,1.0,7,-360.0
70,0.978795291,0.0,0.0,0.0,0.0,0.0,0.021204709,25,1.0,7,-320.0
71,0.899999009,0.0,0.0,0.0,0.0,0.100000991,0.0,25,0.1,10,100.0
72,0.849976364,0.0,0.0,0.0,0.0,0.150023636,0.0,25,0.1,10,400.0
73,0.814962439,0.0,0.0,0.0,0.0,0.185037561,0.0,25,0.1,10,600.0
74,0.739938997,0.0,0.0,0.0,0.0,0.260061003,0.0,25,0.1,10,775.0
75,0.709939125,0.0,0.0,0.0,0.0,0.290060875,0.0,25,0.1,10,900.0
76,0.684919764,0.0,0.0,0.0,0.0,0.315080236,0.0,25,0.1,10,975.0
77,0.899999009,0.0,0.0,0.0,0.0,0.100000991,0.0,25,0.1,7,250.0
78,0.834986035,0.0,0.0,0.0,0.0,0.165013965,0.0,25,0.1,7,525.0
79,0.724950647,0.0,0.0,0.0,0.0,0.275049353,0.0,25,0.1,7,925.0
80,0.709939125,0.0,0.0,0.0,0.0,0.290060875,0.0,25,0.1,7,900.0
81,0.579962603,0.0,0.0,0.0,0.0,0.420037397,0.0,25,0.1,7,975.0
82,0.884977482,0.0,0.115022518,0.0,0.0,0.0,0.0,25,0.1,10,300.0
83,0.700020584,0.0,0.299979416,0.0,0.0,0.0,0.0,25,0.1,10,500.0
84,0.949992123,0.0,0.050007877,0.0,0.0,0.0,0.0,25,0.1,7,-150.0
85,0.844979463,0.0,0.155020537,0.0,0.0,0.0,0.0,25,0.1,7,-125.0
86,0.899974808,0.0,0.100025192,0.0,0.0,0.0,0.0,25,0.1,7,-125.0
87,0.745038656,0.0,0.254961344,0.0,0.0,0.0,0.0,25,0.1,7,-100.0
88,0.620019523,0.0,0.379980477,0.0,0.0,0.0,0.0,25,0.1,7,425.0
89,0.554995465,0.0,0.445004535,0.0,0.0,0.0,0.0,25,0.1,7,1000.0
90,0.983138451,0.0,0.0,0.0,0.0,0.0,0.016861549,25,0.01,7,-541.0
91,0.982881705,0.0,0.0,0.0,0.0,0.0,0.017118295,25,0.1,7,-591.0
92,0.983138451,0.0,0.0,0.0,0.0,0.0,0.016861549,25,1.0,7,-631.0
93,0.982881705,0.0,0.0,0.0,0.0,0.0,0.017118295,25,5.0,7,-671.0
94,0.999175795,0.0,0.0,0.0,0.0,0.0,0.000824205,25,0.01,7,-631.0
95,0.999163037,0.0,0.0,0.0,0.0,0.0,0.000836963,25,0.1,7,-701.0
96,0.999175795,0.0,0.0,0.0,0.0,0.0,0.000824205,25,1.0,7,-761.0
97,0.163934426,0.0,0.163934426,0.163934426,0.491803279,0.016393443,0.0,25,0.62,7,246.0
98,0.161290323,0.0,0.161290323,0.161290323,0.483870968,0.032258065,0.0,25,0.62,7,322.0
99,0.158730159,0.0,0.158730159,0.158730159,0.476190476,0.047619048,0.0,25,0.62,7,415.0
100,0.15625,0.0,0.15625,0.15625,0.46875,0.0625,0.0,25,0.62,7,490.0
101,0.0,0.0,0.181818182,0.181818182,0.454545455,0.181818182,0.0,25,0.62,7,954.0
102,0.0,0.19047619,0.19047619,0.19047619,0.380952381,0.047619048,0.0,25,0.62,7,910.0
103,0.0,0.222222222,0.222222222,0.222222222,0.222222222,0.0,0.111111111,25,0.62,7,90.0
104,0.0,0.2,0.2,0.2,0.2,0.0,0.2,25,0.62,7,80.0
105,0.0,0.2,0.2,0.2,0.2,0.0,0.2,25,0.6,7,-69.0
106,0.161290323,0.0,0.161290323,0.161290323,0.483870968,0.0,0.032258065,25,0.62,7,147.0
107,0.15625,0.0,0.15625,0.15625,0.46875,0.0,0.0625,25,0.62,7,105.0
108,0.151515152,0.0,0.151515152,0.151515152,0.454545455,0.0,0.090909091,25,0.62,7,32.0
109,0.147058824,0.0,0.147058824,0.147058824,0.441176471,0.0,0.117647059,25,0.62,7,-55.0
110,0.142857143,0.0,0.142857143,0.142857143,0.428571429,0.0,0.142857143,25,0.62,7,-67.0
111,0.163934426,0.0,0.163934426,0.245901639,0.426229508,0.0,0.0,25,0.62,7,164.7
112,0.090909091,0.303030303,0.0,0.303030303,0.303030303,0.0,0.0,25,0.62,7,104.0
113,0.078947368,0.263157895,0.131578947,0.263157895,0.263157895,0.0,0.0,25,0.62,7,350.0
114,0.0,0.25,0.25,0.25,0.25,0.0,0.0,25,0.62,7,310.0
115,0.163934426,0.0,0.163934426,0.163934426,0.508196721,0.0,0.0,25,0.62,7,227.8
116,0.163934426,0.0,0.163934426,0.327868852,0.344262295,0.0,0.0,25,0.62,7,141.2
117,0.181818182,0.0,0.181818182,0.181818182,0.454545455,0.0,0.0,25,0.62,7,137.0
118,0.084507042,0.070422535,0.281690141,0.281690141,0.281690141,0.0,0.0,25,0.62,7,166.0
119,0.078947368,0.131578947,0.263157895,0.263157895,0.263157895,0.0,0.0,25,0.62,7,187.0
120,0.230769231,0.192307692,0.192307692,0.192307692,0.192307692,0.0,0.0,25,0.62,7,201.0
121,0.16722408,0.0,0.197324415,0.16722408,0.468227425,0.0,0.0,25,0.62,7,519.0
122,0.167785235,0.0,0.167785235,0.244966443,0.419463087,0.0,0.0,25,0.62,7,713.0
123,0.0,0.2,0.2,0.2,0.4,0.0,0.0,25,0.62,7,320.0
124,0.166666667,0.0,0.166666667,0.166666667,0.5,0.0,0.0,25,0.62,7,199.0
125,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0.0,0.0,25,0.62,7,168.0
126,0.0,0.2,0.2,0.4,0.2,0.0,0.0,25,0.62,7,248.0
127,0.19193858,0.251439539,0.09596929,0.0,0.460652591,0.0,0.0,25,0.62,7,348.0
128,0.19193858,0.328214971,0.09596929,0.0,0.383877159,0.0,0.0,25,0.62,7,285.0
129,0.192307692,0.346153846,0.115384615,0.0,0.346153846,0.0,0.0,25,0.62,7,406.0
130,0.162337662,0.188311688,0.324675325,0.0,0.324675325,0.0,0.0,25,0.62,7,385.0
131,0.025,0.25,0.225,0.25,0.25,0.0,0.0,25,0.62,7,249.5
132,0.05,0.25,0.2,0.25,0.25,0.0,0.0,25,0.62,7,324.1
133,0.075,0.25,0.175,0.25,0.25,0.0,0.0,25,0.62,7,164.0
134,0.1,0.25,0.15,0.25,0.25,0.0,0.0,25,0.62,7,137.2
135,0.125,0.25,0.125,0.25,0.25,0.0,0.0,25,0.62,7,80.0
136,0.15,0.25,0.1,0.25,0.25,0.0,0.0,25,0.62,7,106.4
137,0.175,0.25,0.075,0.25,0.25,0.0,0.0,25,0.62,7,48.387
138,0.2,0.25,0.05,0.25,0.25,0.0,0.0,25,0.62,7,84.94
139,0.225,0.25,0.025,0.25,0.25,0.0,0.0,25,0.62,7,336.5
140,0.25,0.25,0.0,0.25,0.25,0.0,0.0,25,0.62,7,-261.2
141,0.0,0.0,0.15,0.6,0.25,0.0,0.0,25,0.62,7,270.4
142,0.0,0.0,0.2,0.6,0.2,0.0,0.0,25,0.62,7,307.3
143,0.0,0.0,0.25,0.6,0.15,0.0,0.0,25,0.62,7,610.0
144,0.069767442,0.23255814,0.23255814,0.23255814,0.23255814,0.0,0.0,25,0.62,7,259.29
145,0.2,0.2,0.2,0.2,0.2,0.0,0.0,25,0.62,7,180.8
146,0.272727273,0.181818182,0.181818182,0.181818182,0.181818182,0.0,0.0,25,0.62,7,126.6
147,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.0,25,0.62,7,-217.5
148,0.163934426,0.196721311,0.131147541,0.163934426,0.344262295,0.0,0.0,25,0.62,7,148.0
149,0.238948626,0.0,0.238948626,0.268817204,0.253285544,0.0,0.0,25,0.62,7,-15.01
150,0.235294118,0.0,0.235294118,0.264705882,0.264705882,0.0,0.0,25,0.62,7,-37.99
151,0.25,0.0,0.25,0.25,0.25,0.0,0.0,25,0.62,7,-72.9
152,0.0,0.0,0.333333333,0.333333333,0.333333333,0.0,0.0,25,0.62,7,982.0
153,0.14893617,0.212765957,0.212765957,0.212765957,0.212765957,0.0,0.0,25,0.62,7,156.7
154,0.163934426,0.163934426,0.163934426,0.163934426,0.344262295,0.0,0.0,25,0.62,7,227.27
