ID,Al(wt%),Cr(wt%),Fe(wt%),Mo(wt%),Nb(wt%),Sn(wt%),Ti(wt%),V(wt%),Zr(wt%),Solution Temperature(℃),Solution Time(h),Aging Temperature(℃),Aging Time(h),Thermo-Mechanical Treatment Temperature(℃),Deformation(%),Processing_Description,UTS(MPa),El(%)
1,0.0,0.0,0.0,3.16,6.2700000000000005,3.1300000000000003,81.17,0.0,6.2700000000000005,0,0.0,0,0.0,20,0.0,No processing,715.0,7.6
2,0.0,0.0,0.0,2.96,11.8,2.95,76.38000000000001,0.0,5.91,0,0.0,0,0.0,20,0.0,No processing,519.0,6.4
3,0.0,0.0,0.0,2.96,8.85,2.93,79.36,0.0,5.9,0,0.0,0,0.0,20,0.0,No processing,701.0,13.6
4,0.0,0.0,0.0,2.95,5.9,2.95,82.3,0.0,5.9,0,0.0,0,0.0,20,0.0,No processing,715.0,12.5
5,0.0,0.0,0.0,2.94,5.9,2.94,85.25,0.0,2.97,0,0.0,0,0.0,20,0.0,No processing,762.0,13.8
6,0.0,0.0,0.0,3.16,9.36,3.1300000000000003,81.22,0.0,3.1300000000000003,0,0.0,0,0.0,20,0.0,No processing,692.0,14.2
7,0.0,0.0,0.0,0.0,22.36,2.0,75.64,0.0,0.0,950,2.0,0,0.0,20,89.0,the first heat treatment is Solution treatment at 950.0℃ for 2.0 hours followed by water quenching. the second heat treatment is Cold rolling at 20℃ with 89.0% reduction,680.0,13.62
8,0.0,0.0,0.0,0.0,22.36,2.0,75.64,0.0,0.0,950,2.0,250,2.0,20,89.0,the first heat treatment is Solution treatment at 950.0℃ for 2.0 hours. the second heat treatment is Aging at 250.0℃ for 2.0 hours. the third heat treatment is Cold rolling at 20℃ with 89.0% reduction,830.0,6.5
9,0.0,0.0,0.0,0.0,22.36,2.0,75.64,0.0,0.0,950,2.0,300,2.0,20,89.0,the first heat treatment is Solution treatment at 950.0℃ for 2.0 hours. the second heat treatment is Aging at 300.0℃ for 2.0 hours. the third heat treatment is Cold rolling at 20℃ with 89.0% reduction,1000.0,8.95
10,0.0,0.0,0.0,0.0,23.02,4.07,72.91,0.0,0.0,950,2.0,0,0.0,20,89.0,the first heat treatment is Solution treatment at 950.0℃ for 2.0 hours. the second heat treatment is Cold rolling at 20℃ with 89.0% reduction,600.0,13.59
11,0.0,0.0,0.0,0.0,23.02,4.07,72.91,0.0,0.0,950,2.0,250,2.0,20,89.0,the first heat treatment is Solution treatment at 950.0℃ for 2.0 hours. the second heat treatment is Aging at 250.0℃ for 2.0 hours. the third heat treatment is Cold rolling at 20℃ with 89.0% reduction,670.0,15.05
12,0.0,0.0,0.0,0.0,23.02,4.07,72.91,0.0,0.0,950,2.0,300,2.0,20,89.0,the first heat treatment is Solution treatment at 950.0℃ for 2.0 hours. the second heat treatment is Aging at 300.0℃ for 2.0 hours. the third heat treatment is Cold rolling at 20℃ with 89.0% reduction,710.0,12.26
13,0.0,0.0,0.0,0.0,23.14,0.0,73.59,0.0,3.27,950,5.0,250,0.33,20,87.5,the first heat treatment is Solution treatment at 950.0℃ for 5.0 hours. the second heat treatment is Aging at 250.0℃ for 0.33 hours. the third heat treatment is Cold rolling at 20℃ with 87.5% reduction,790.0,3.44
14,0.0,0.0,0.0,0.0,23.14,0.0,73.59,0.0,3.27,950,5.0,350,0.33,20,88.5,the first heat treatment is Solution treatment at 950.0℃ for 5.0 hours. the second heat treatment is Aging at 350.0℃ for 0.33 hours. the third heat treatment is Cold rolling at 20℃ with 88.5% reduction,964.0,2.13
15,0.0,0.0,0.0,0.0,23.14,0.0,73.59,0.0,3.27,950,5.0,425,0.33,20,89.5,the first heat treatment is Solution treatment at 950.0℃ for 5.0 hours. the second heat treatment is Aging at 425.0℃ for 0.33 hours. the third heat treatment is Cold rolling at 20℃ with 89.5% reduction,833.0,4.44
16,0.0,0.0,0.0,0.0,24.0,0.0,76.0,0.0,0.0,900,1.0,0,0.0,20,95.0,the first heat treatment is Solution treatment at 900.0℃ for 1.0 hours. the second heat treatment is Cold rolling at 20℃ with 95.0% reduction,440.0,32.0
17,0.0,0.0,0.0,0.0,24.0,0.0,76.0,0.0,0.0,900,1.0,300,0.167,20,95.0,the first heat treatment is Solution treatment at 900.0℃ for 1.0 hours. the second heat treatment is Aging at 300.0℃ for 0.167 hours. the third heat treatment is Cold rolling at 20℃ with 95.0% reduction,915.0,6.5
18,0.0,0.0,0.0,0.0,24.0,0.0,76.0,0.0,0.0,900,1.0,600,0.167,20,95.0,the first heat treatment is Solution treatment at 900.0℃ for 1.0 hours. the second heat treatment is Aging at 600.0℃ for 0.167 hours. the third heat treatment is Cold rolling at 20℃ with 95.0% reduction,580.0,6.0
19,0.0,0.0,0.0,0.0,26.0,0.0,74.0,0.0,0.0,900,1.0,0,0.0,20,95.0,the first heat treatment is Solution treatment at 900.0℃ for 1.0 hours. the second heat treatment is Cold rolling at 20℃ with 95.0% reduction,420.0,20.0
20,0.0,0.0,0.0,0.0,26.0,0.0,74.0,0.0,0.0,900,1.0,300,0.167,20,95.0,the first heat treatment is Solution treatment at 900.0℃ for 1.0 hours. the second heat treatment is Aging at 300.0℃ for 0.167 hours. the third heat treatment is Cold rolling at 20℃ with 95.0% reduction,870.0,4.0
21,0.0,0.0,0.0,0.0,26.0,0.0,74.0,0.0,0.0,900,1.0,600,0.167,20,95.0,the first heat treatment is Solution treatment at 900.0℃ for 1.0 hours. the second heat treatment is Aging at 600.0℃ for 0.167 hours. the third heat treatment is Cold rolling at 20℃ with 95.0% reduction,510.0,6.0
22,0.0,0.0,0.0,3.89,0.0,0.0,96.11,0.0,0.0,0,0.0,0,0.0,20,0.0,No processing,1019.0,16.0
23,0.0,0.0,0.0,8.09,0.0,0.0,91.91,0.0,0.0,0,0.0,0,0.0,20,0.0,No processing,921.0,25.0
24,10.2,0.0,0.0,0.0,0.0,0.0,86.2,3.6,0.0,0,0.0,0,0.0,20,0.0,No processing,1173.0,6.0
25,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,730,0.5,0,0.0,800,65.7,the first heat treatment is Solution treatment at 730.0℃ for 0.5 hours. the second heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,973.0,22.0
26,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,760,0.5,0,0.0,800,65.7,the first heat treatment is Solution treatment at 760.0℃ for 0.5 hours. the second heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,953.57,23.0
27,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,800,0.5,0,0.0,800,65.7,the first heat treatment is Solution treatment at 800.0℃ for 0.5 hours. the second heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,875.28,21.92
28,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,830,0.5,0,0.0,800,65.7,the first heat treatment is Solution treatment at 830.0℃ for 0.5 hours. the second heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,867.62,22.9
29,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,730,0.5,460,6.0,800,65.7,the first heat treatment is Solution treatment at 730.0℃ for 0.5 hours followed by air cooling. the second heat treatment is Aging at 460.0℃ for 6.0 hours followed by air cooling. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1485.34,10.12
30,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,760,0.5,460,6.0,800,65.7,the first heat treatment is Solution treatment at 760.0℃ for 0.5 hours. the second heat treatment is Aging at 460.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1572.56,6.18
31,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,800,0.5,460,6.0,800,65.7,the first heat treatment is Solution treatment at 800.0℃ for 0.5 hours. the second heat treatment is Aging at 460.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1208.8,10.73
32,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,830,0.5,460,6.0,800,65.7,the first heat treatment is Solution treatment at 830.0℃ for 0.5 hours. the second heat treatment is Aging at 460.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1288.17,7.72
33,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,730,0.5,480,6.0,800,65.7,the first heat treatment is Solution treatment at 730.0℃ for 0.5 hours. the second heat treatment is Aging at 480.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1475.41,10.18
34,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,760,0.5,480,6.0,800,65.7,the first heat treatment is Solution treatment at 760.0℃ for 0.5 hours. the second heat treatment is Aging at 480.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1474.28,8.95
35,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,800,0.5,480,6.0,800,65.7,the first heat treatment is Solution treatment at 800.0℃ for 0.5 hours. the second heat treatment is Aging at 480.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1263.42,9.44
36,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,830,0.5,480,6.0,800,65.7,the first heat treatment is Solution treatment at 830.0℃ for 0.5 hours. the second heat treatment is Aging at 480.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1216.63,9.9
37,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,730,0.5,500,6.0,800,65.7,the first heat treatment is Solution treatment at 730.0℃ for 0.5 hours. the second heat treatment is Aging at 500.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1383.33,13.87
38,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,760,0.5,500,6.0,800,65.7,the first heat treatment is Solution treatment at 760.0℃ for 0.5 hours. the second heat treatment is Aging at 500.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1470.05,10.4
39,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,800,0.5,500,6.0,800,65.7,the first heat treatment is Solution treatment at 800.0℃ for 0.5 hours. the second heat treatment is Aging at 500.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1400.15,7.52
40,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,830,0.5,500,6.0,800,65.7,the first heat treatment is Solution treatment at 830.0℃ for 0.5 hours. the second heat treatment is Aging at 500.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1305.81,7.75
41,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,730,0.5,520,6.0,800,65.7,the first heat treatment is Solution treatment at 730.0℃ for 0.5 hours. the second heat treatment is Aging at 520.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1279.66,15.55
42,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,760,0.5,520,6.0,800,65.7,the first heat treatment is Solution treatment at 760.0℃ for 0.5 hours. the second heat treatment is Aging at 520.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1366.56,12.97
43,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,800,0.5,520,6.0,800,65.7,the first heat treatment is Solution treatment at 800.0℃ for 0.5 hours. the second heat treatment is Aging at 520.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1413.25,8.2
44,7.109999999999999,5.53,0.0,2.5,0.0,0.0,80.15,4.71,0.0,830,0.5,520,6.0,800,65.7,the first heat treatment is Solution treatment at 830.0℃ for 0.5 hours. the second heat treatment is Aging at 520.0℃ for 6.0 hours. the third heat treatment is Hot rolling at 800.0℃ with 65.7% reduction,1409.09,6.88
45,0.0,0.0,0.0,4.16,0.0,0.0,95.84,0.0,0.0,900,0.5,0,0.0,20,94.0,the first heat treatment is Solution treatment at 900.0℃ for 0.5 hours. the second heat treatment is Cold rolling at 20℃ with 94.0% reduction,743.0,31.71
46,0.0,0.0,0.0,4.24,0.0,1.28,94.48,0.0,0.0,900,0.5,0,0.0,20,94.0,the first heat treatment is Solution treatment at 900.0℃ for 0.5 hours. the second heat treatment is Cold rolling at 20℃ with 94.0% reduction,768.0,30.29
47,0.0,0.0,0.0,4.29,0.0,2.17,93.54,0.0,0.0,900,0.5,0,0.0,20,94.0,the first heat treatment is Solution treatment at 900.0℃ for 0.5 hours. the second heat treatment is Cold rolling at 20℃ with 94.0% reduction,743.0,29.44
48,0.0,0.0,0.0,4.35,0.0,3.0700000000000003,92.58,0.0,0.0,900,0.5,0,0.0,20,94.0,the first heat treatment is Solution treatment at 900.0℃ for 0.5 hours. the second heat treatment is Cold rolling at 20℃ with 94.0% reduction,738.0,24.527
49,0.0,0.0,0.0,4.4,0.0,4.01,91.59,0.0,0.0,900,0.5,0,0.0,20,94.0,the first heat treatment is Solution treatment at 900.0℃ for 0.5 hours. the second heat treatment is Cold rolling at 20℃ with 94.0% reduction,813.0,10.81
50,0.0,0.0,0.0,4.46,0.0,4.96,90.58,0.0,0.0,900,0.5,0,0.0,20,94.0,the first heat treatment is Solution treatment at 900.0℃ for 0.5 hours. the second heat treatment is Cold rolling at 20℃ with 94.0% reduction,827.0,6.44
51,0.0,0.0,0.0,4.52,0.0,5.94,89.53999999999999,0.0,0.0,900,0.5,0,0.0,20,94.0,the first heat treatment is Solution treatment at 900.0℃ for 0.5 hours. the second heat treatment is Cold rolling at 20℃ with 94.0% reduction,899.0,11.11
52,0.0,0.0,0.0,4.58,0.0,6.950000000000001,88.47,0.0,0.0,900,0.5,0,0.0,20,94.0,the first heat treatment is Solution treatment at 900.0℃ for 0.5 hours. the second heat treatment is Cold rolling at 20℃ with 94.0% reduction,801.0,19.74
53,0.0,0.0,0.0,0.0,20.73,0.0,52.580000000000005,0.0,26.69,890,1.0,0,0.0,20,20.0,the first heat treatment is Solution treatment at 890.0℃ for 1.0 hours. the second heat treatment is Cold rolling at 20℃ with 20.0% reduction,763.0,8.0
54,0.0,0.0,0.0,0.0,20.73,0.0,52.580000000000005,0.0,26.69,890,1.0,0,0.0,20,56.0,the first heat treatment is Solution treatment at 890.0℃ for 1.0 hours. the second heat treatment is Cold rolling at 20℃ with 56.0% reduction,776.0,5.0
55,0.0,0.0,0.0,0.0,20.73,0.0,52.580000000000005,0.0,26.69,890,1.0,0,0.0,20,76.0,the first heat treatment is Solution treatment at 890.0℃ for 1.0 hours. the second heat treatment is Cold rolling at 20℃ with 76.0% reduction,857.0,5.0
56,0.0,0.0,0.0,0.0,20.73,0.0,52.580000000000005,0.0,26.69,890,1.0,0,0.0,20,86.0,the first heat treatment is Solution treatment at 890.0℃ for 1.0 hours. the second heat treatment is Cold rolling at 20℃ with 86.0% reduction,941.0,4.0
57,0.0,0.0,0.0,0.0,20.73,0.0,52.580000000000005,0.0,26.69,890,1.0,890,1.0,20,86.0,the first heat treatment is Solution treatment at 890.0℃ for 1.0 hours. the second heat treatment is Aging at 890.0℃ for 1.0 hours. the third heat treatment is Cold rolling at 20℃ with 86.0% reduction,633.0,13.0
58,0.0,0.0,0.0,0.0,9.63,3.77,84.15,0.0,2.45,850,1.5,0,0.0,850,90.0,the first heat treatment is Solution treatment at 850.0℃ for 1.5 hours. the second heat treatment is Hot rolling at 850.0℃ with 90.0% reduction,752.0,19.6
59,0.0,0.0,0.0,0.0,12.32,3.86,81.31,0.0,2.51,850,1.5,0,0.0,850,90.0,the first heat treatment is Solution treatment at 850.0℃ for 1.5 hours. the second heat treatment is Hot rolling at 850.0℃ with 90.0% reduction,735.0,13.6
60,0.0,0.0,0.0,0.0,15.14,3.95,78.34,0.0,2.5700000000000003,850,1.5,0,0.0,850,90.0,the first heat treatment is Solution treatment at 850.0℃ for 1.5 hours. the second heat treatment is Hot rolling at 850.0℃ with 90.0% reduction,674.0,12.9
61,0.0,0.0,0.0,0.0,18.09,4.05,75.22999999999999,0.0,2.63,850,1.5,0,0.0,850,90.0,the first heat treatment is Solution treatment at 850.0℃ for 1.5 hours. the second heat treatment is Hot rolling at 850.0℃ with 90.0% reduction,570.0,22.3
62,0.0,0.0,0.0,0.0,24.45,4.25,68.53,0.0,2.77,850,1.5,0,0.0,850,90.0,the first heat treatment is Solution treatment at 850.0℃ for 1.5 hours. the second heat treatment is Hot rolling at 850.0℃ with 90.0% reduction,557.0,21.3
63,0.0,0.0,0.0,0.0,7.15,0.0,92.85,0.0,0.0,0,0.0,0,0.0,20,0.0,No processing,799.98,5.11
64,0.0,0.0,0.0,0.0,16.689999999999998,0.0,83.31,0.0,0.0,0,0.0,0,0.0,20,0.0,No processing,778.33,3.03
65,8.84,1.87,0.8099999999999999,2.04,0.0,0.8200000000000001,83.28999999999999,0.0,2.33,920,0.25,0,0.0,20,0.0,the first heat treatment is Solution treatment at 920.0℃ for 0.25 hours followed by water quenching,1025.0,10.96
66,8.84,1.87,0.8099999999999999,2.04,0.0,0.8200000000000001,83.28999999999999,0.0,2.33,920,1.0,0,0.0,20,0.0,the first heat treatment is Solution treatment at 920.0℃ for 1.0 hours,1010.0,10.42
67,8.84,1.87,0.8099999999999999,2.04,0.0,0.8200000000000001,83.28999999999999,0.0,2.33,850,0.25,0,0.0,20,0.0,the first heat treatment is Solution treatment at 850.0℃ for 0.25 hours,1115.0,14.38
68,8.84,1.87,0.8099999999999999,2.04,0.0,0.8200000000000001,83.28999999999999,0.0,2.33,850,1.0,0,0.0,20,0.0,the first heat treatment is Solution treatment at 850.0℃ for 1.0 hours,1070.0,14.2
69,0.0,0.0,0.0,0.0,7.649999999999999,0.0,84.55,0.0,7.79,0,0.0,0,0.0,20,0.0,No processing,849.0,21.0
70,0.0,0.0,0.0,0.0,7.649999999999999,0.0,84.55,0.0,7.79,900,1.0,0,0.0,20,0.0,the first heat treatment is Solution treatment at 900.0℃ for 1.0 hours,717.0,37.0
71,0.0,0.0,0.0,0.0,7.649999999999999,0.0,84.55,0.0,7.79,660,1.0,0,0.0,20,0.0,the first heat treatment is Solution treatment at 660.0℃ for 1.0 hours,763.0,36.0
72,0.0,0.0,0.0,0.0,8.33,0.0,91.67,0.0,0.0,900,0.5,0,0.0,20,85.0,the first heat treatment is Solution treatment at 900.0℃ for 0.5 hours. the second heat treatment is Cold rolling at 20℃ with 85.0% reduction,648.0,16.0
73,0.0,0.0,0.0,0.0,19.51,0.0,80.49,0.0,0.0,900,0.5,0,0.0,20,85.0,the first heat treatment is Solution treatment at 900.0℃ for 0.5 hours. the second heat treatment is Cold rolling at 20℃ with 85.0% reduction,550.0,22.0
74,0.0,0.0,0.0,0.0,24.0,0.0,76.0,0.0,0.0,900,0.5,0,0.0,20,85.0,the first heat treatment is Solution treatment at 900.0℃ for 0.5 hours. the second heat treatment is Cold rolling at 20℃ with 85.0% reduction,479.0,41.0
75,8.57,0.0,2.07,0.0,0.0,0.0,89.36,0.0,0.0,0,0.0,0,0.0,20,0.0,No processing,1020.0,15.0
76,10.51,0.0,0.0,0.0,3.56,0.0,85.92999999999999,0.0,0.0,0,0.0,0,0.0,20,0.0,No processing,933.0,7.1
77,0.0,0.0,0.0,0.0,26.0,0.0,74.0,0.0,0.0,900,0.5,0,0.0,20,95.0,the first heat treatment is Solution treatment at 900.0℃ for 0.5 hours. the second heat treatment is Cold rolling at 20℃ with 95.0% reduction,470.0,19.0
